State,Startup_count
Chandigarh,3
Chhattisgarh,2
Delhi,49
Gujarat,1
Haryana,9
Karnataka,105
Kerala,1
Madhya Pradesh,2
Maharashtra,17
Orissa,1
Rajasthan,5
Tamil Nadu,15
Andhra Pradesh,14
Uttar Pradesh,13
Uttaranchal,1
West Bengal,5
