State,Startup_count
Bihar,1
Chandigarh,2
Chhattisgarh,1
Delhi,91
Gujarat,11
Haryana,14
Karnataka,256
Madhya Pradesh,7
Maharashtra,34
Orissa,6
Punjab,1
Rajasthan,10
Tamil Nadu,38
Andhra Pradesh,36
Uttar Pradesh,34
Uttaranchal,1
West Bengal,14
